Team,GM,PTS,PPG,OPP PTS,OPP PPG
Wagner ,6,401,66.8,393,65.5
Wake Forest ,7,572,81.7,479,68.4
Washington St. ,5,381,76.2,312,62.4
Washington ,7,493,70.4,446,63.7
Weber St. ,6,394,65.7,439,73.2
West Virginia ,7,565,80.7,435,62.1
Western Caro. ,7,555,79.3,505,72.1
Western Ill. ,6,436,72.7,446,74.3
Western Ky. ,7,553,79,438,62.6
Western Mich. ,7,508,72.6,518,74
Wichita St. ,6,393,65.5,355,59.2
William & Mary ,7,518,74,477,68.1
Winthrop ,7,508,72.6,547,78.1
Wisconsin ,6,376,62.7,324,54
Wofford ,7,555,79.3,478,68.3
Wright St. ,7,578,82.6,497,71
Wyoming ,6,435,72.5,404,67.3
Xavier ,7,577,82.4,525,75
Yale ,7,559,79.9,375,53.6
Youngstown St. ,7,587,83.9,507,72.4
