Rk,School,City State,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
441,Valparaiso,Valparaiso Indiana,1918,2023,88,2235,1175,1060,0.526,-4.15,-1.48,0,14,10,9,0,0
442,Vanderbilt,Nashville Tennessee,1901,2023,121,2871,1648,1223,0.574,8.31,5.05,11,3,3,15,0,0
443,Vermont,Burlington Vermont,1921,2023,68,1835,990,845,0.54,-9.63,-6.97,0,13,8,8,0,0
444,Villanova,Villanova Pennsylvania,1921,2023,103,2815,1853,962,0.658,10.43,5.82,26,14,8,41,7,3
445,Virginia,Charlottesville Virginia,1906,2023,118,2896,1699,1196,0.587,7.22,5.57,15,11,3,24,3,1
446,Virginia Commonwealth,Richmond Virginia,1974,2023,50,1513,981,531,0.649,5.46,0.86,3,11,9,18,1,0
447,Virginia Military Institute,Lexington Virginia,1909,2023,115,2527,937,1590,0.371,-12.74,-4.65,1,2,3,3,0,0
448,Virginia Tech,Blacksburg Virginia,1909,2023,115,2781,1524,1257,0.548,4.2,1.63,3,2,2,13,0,0
449,Wabash Little Giants,Crawfordsville Indiana,1897,1925,29,407,301,106,0.74,,,0,0,0,,,
450,Wagner,Staten Island New York,1966,2023,51,1433,703,730,0.491,-9.42,-7.3,0,4,1,1,0,0
451,Wake Forest,Winston-Salem North Carolina,1906,2023,117,2868,1587,1281,0.553,8,6.05,17,4,5,23,1,0
452,Washburn Ichabods,Topeka Kansas,1906,1941,35,557,270,283,0.488,,,0,0,0,0,0,0
453,Washington,Seattle Washington,1896,2023,122,3079,1839,1240,0.597,7.34,6.01,8,12,3,17,1,0
454,Washington & Jefferson Presidents,Washington Pennsylvania,1913,1944,10,128,73,55,0.57,,,0,0,0,0,0,0
455,Washington & Lee Generals,Lexington Virginia,1907,1959,51,905,472,432,0.522,-15.24,-5.6,0,3,2,0,0,0
456,Washington (MO) Bears,St. Louis Missouri,1905,1960,52,921,433,488,0.47,-5.22,-1.75,0,2,0,0,0,0
457,Washington College Shoremen,Chestertown Maryland,1913,1925,13,151,109,42,0.722,,,0,0,0,,,
458,Washington State,Pullman Washington,1902,2023,122,3220,1648,1572,0.512,3.3,4.82,3,2,0,6,1,0
459,Wayne State (MI),Detroit Michigan,1928,1950,5,104,47,57,0.452,,,0,0,0,0,0,0
460,Weber State,Ogden Utah,1964,2023,60,1742,1091,651,0.626,0.03,-2.62,1,22,10,16,0,0
461,Wesleyan (CT) Cardinals,Middletown Connecticut,1896,1913,13,171,97,74,0.567,,,0,0,0,,,
462,West Chester Golden Rams,West Chester Pennsylvania,1899,1982,10,244,86,158,0.352,-17.61,-8.15,0,1,0,0,0,0
463,West Texas A&M Buffaloes,Canyon Texas,1921,1986,54,1275,707,568,0.555,-6.34,-1.64,0,4,0,1,0,0
464,West Virginia,Morgantown West Virginia,1904,2023,114,2971,1833,1138,0.617,7.58,2.86,19,16,13,30,2,0
465,Western Carolina,Cullowhee North Carolina,1977,2023,47,1361,595,766,0.437,-8.49,-3.7,0,3,1,1,0,0
466,Western Colorado Mountaineers,Gunnison Colorado,1924,1937,14,189,88,101,0.466,,,0,0,0,,,
467,Western Illinois,Macomb Illinois,1982,2023,42,1176,484,692,0.412,-8.82,-3.7,0,2,1,0,0,0
468,Western Kentucky,Bowling Green Kentucky,1922,2023,102,2815,1858,957,0.66,3.31,-0.2,11,29,19,23,1,0
469,Western Michigan,Kalamazoo Michigan,1914,2023,110,2639,1362,1276,0.516,-3.2,-0.33,1,11,2,4,0,0
470,Westminster (MO) Blue Jays,Fulton Missouri,1920,1920,1,17,17,0,1,,,0,0,0,,,
471,Westminster (PA),New Wilmington Pennsylvania,1898,1935,21,294,210,84,0.714,,,0,0,0,,,
472,Wheaton (IL) Thunder,Wheaton Illinois,1902,1905,4,57,39,17,0.696,,,0,0,0,,,
473,Whittier Poets,Whittier California,1909,1915,3,42,38,3,0.927,,,0,0,0,,,
474,Wichita State,Wichita Kansas,1906,2023,116,2876,1644,1232,0.572,6.18,3.36,8,12,4,16,2,0
475,Widener Pride,Chester Pennsylvania,1899,1909,5,26,20,6,0.769,,,0,0,0,,,
476,William & Mary,Williamsburg Virginia,1906,2023,118,2724,1269,1455,0.466,-5.58,-2.57,0,3,0,0,0,0
477,Williams,Williamstown Massachusetts,1901,1911,10,161,136,24,0.85,,,0,0,0,,,
478,Winthrop,Rock Hill South Carolina,1987,2023,37,1092,608,484,0.557,-7.02,-6.39,1,12,13,11,0,0
479,Wisconsin,Madison Wisconsin,1899,2023,125,2929,1683,1246,0.575,8.82,7.74,18,20,3,26,4,1
480,Wisconsin-Stevens Point Pointers,Stevens Point Wisconsin,1898,1918,21,156,98,58,0.628,,,0,0,0,,,
481,Wisconsin-Superior Yellowjackets,Superior Wisconsin,1900,1901,2,14,10,4,0.714,,,0,0,0,,,
482,Wittenberg Tigers,Springfield Ohio,1931,1931,1,20,18,2,0.9,,,0,0,0,,,
483,Wofford,Spartanburg South Carolina,1996,2023,28,835,424,411,0.508,-4.61,-2.51,1,4,5,5,0,0
484,Wooster Fighting Scots,Wooster Ohio,1901,1931,31,390,225,165,0.577,,,0,0,0,,,
485,WPI Engineers,Worcester Massachusetts,1920,1920,1,16,14,2,0.875,,,0,0,0,,,
486,Wright State,Dayton Ohio,1988,2023,36,1070,600,470,0.561,-1.3,-2.55,0,4,4,4,0,0
487,Wyoming,Laramie Wyoming,1905,2023,118,2819,1588,1231,0.563,2.68,2.59,4,21,3,16,1,1
488,Xavier,Cincinnati Ohio,1920,2023,102,2633,1572,1061,0.597,5.96,3.87,12,18,9,28,0,0
489,Yale,New Haven Connecticut,1896,2023,128,3029,1527,1499,0.505,-6.1,-4.54,1,15,2,6,0,0
